id,ref,pred,cer
157,Nước ta giáp với biển Đông ở hai phía Đông và Nam. Vùng biển Việt Nam,Nước ta gặp với bình Đông ở hai phía Đông và Nam. Vùng bình Việt Nam,11.594.202.898.550.700
158,là một phần biển Đông.,là một phản biện đóng.,18.181.818.181.818.100
159,"Bờ biển dài 3.260 km, từ Quảng Ninh đến Kiên Giang. Như vậy cứ 100 km2","Bà biên đài 3.260 km, tại Quảng Ninhđàn Kiên Giang. Như vậy đã 100 km",14.285.714.285.714.200
160,thì có 1 km bờ biển (trung bình của thế giới là 600 km2 đất liền / 1 km bờ biển).,thì có 1 km bị biên (trung bình của thời gian là 600km² đạt biên/1km bị biên).,19.753.086.419.753.000
161,"Biển có vùng nội thủy, lãnh hải, vùng đặc quyền kinh tế và thềm lục địa với","Bên cơ vùng nội thụy, tành hài, vùng đa nguyên kinh tế và thêm lịch sử",28.000.000.000.000.000
162,diện tích trên 1 triệu km2 (gấp 3 diện tích đất liền : 1 triệu km2 /,"when fish aren't alive, they're **gasp** & alive for fish that aren't: **thr**",8.823.529.411.764.700
163,330.000 km2),"\[ 330.000 \, \text{km}^2 \]",14.166.666.666.666.600
164,"Trong đó có 2 quần đảo Hoàng Sa, Trường Sa và 2.577 đảo lớn, nhỏ,","Gương đỏ có lẽ quản lý thông Sa, Gương Sa và 2.577 da hồ, nhỏ,",3.384.615.384.615.380
165,"gần và xa bờ, hợp thành phòng tuyến bảo vệ, kiểm soát và làm chủ","gài vì xa bố, hẹp thính phòng tuyển báo vệ, kiếm soát và làm chủ",140.625
166,vùng biển.,bien?,70.0
167,"Có vị trí chiến lược quan trọng : nối liền Thái Bình Dương với Ấn Độ Dương,","Cô vị thứ chiến thắng quan trọng: mọi liên hệ khi Bình Dương và Anh Dương,",30.666.666.666.666.600
168,"châu Á với châu Âu, châu Úc với Trung Đông. Giao lưu quốc tế thuận","cháu A với cháu A, cháu Vô với Trung Đông. Giáo luôn quyết thích",2.878.787.878.787.870
169,"lợi, phát triển ngành biển.","\[ \{ \text{iii, phát triển ngành bản} \}. \]",8.518.518.518.518.510
170,Có khí hậu biển là vùng nhiệt đới tạo điều kiện cho sinh vật biển phát,Có khi hầu biên lá vùng nhiệt đội tạo điều kiện cho sâu vât biên phát,14.285.714.285.714.200
171,"triển, tồn tại tốt.","триен, тян тай тът.",7.368.421.052.631.570
172,"Có tài nguyên sinh vật và khoáng sản phong phú, đa dạng, quý hiếm.","Có tài nguyên sinh vật và khoảng sân phòng phù, tá dạng quý hôm.",13.636.363.636.363.600
173,"Vùng biển và hải đảo nước ta có vị trí chiến lược hết sức to lớn, có ảnh hưởng","Vùng bản văn hóa đảo mốc ta có rìa chính lưỡi hết sức to lớn, có ảnh hưởng",2.564.102.564.102.560
174,trực tiếp đến sự nghiệp bảo vệ nền độc lập dân tộc và xây dựng chủ nghĩa,trúc-tập đến sự nghiệp bảo vệ niên độc lập đảm bảo vai trò đáng chú nghĩa.,29.166.666.666.666.600
175,"xã hội, có liên quan trực tiếp đến sự phồn vinh của đất nước, đến văn","xǐ hài, eó hèn quen thích têp đến sự phản vinh của đất mùa, đến văn",24.637.681.159.420.200
176,minh và hạnh phúc của nhân dân.,mình và hành phúc của mình dân.,1.935.483.870.967.740
177,BẢN CHẤT CỦA THÀNH CÔNG,Bản chất của thành công,7.826.086.956.521.730
178,Đã bao giờ bạn tự hỏi thành công là gì mà bao kẻ bỏ cả cuộc đời mình theo đuổi? Phải chăng,"""Are you going to be here tomorrow?""",8.444.444.444.444.440
179,"đó là kết quả hoàn hảo trong công việc, sự chính xác đến từng chi tiết? Hay đó là cách nói","this is what you mean, that strong voice, it's always easier than trying out that? I may do it easier, not.",7.888.888.888.888.880
180,"khác của từ thành đạt, nghĩa là có được một cuộc sống giàu sang, được mọi người nể phục?","khác cũn từ thanh đạt, nghĩa là có điều cũng sống quan sang, điều mới nghĩa là phục ợ",31.818.181.818.181.800
181,Vậy thì bạn hãy dành chút thời gian để lặng mình suy ngẫm.,Vậy thì bạn hãy dành chút thời gian để kỹ năng suy ngẫm.,12.068.965.517.241.300
182,Cuộc sống sẽ chỉ cho bạn có những người thành đạt được thành công theo một cách giản dị đến bất,que song se chú cho ban có những người thánh tất thánh ứng thơ một cách giàu đời tươi.,3.368.421.052.631.570
183,ngờ,hā,100.0
184,"Thành công là khi bố và con trai có dũng khí bước vào bếp, nấu những món ăn mẹ thích nhân","Thanh càng lẫn khu bốc và còn trải có dùng khứ biểu nào bây, nếu những món ăn mẹ-thách nhau",23.595.505.617.977.500
185,"ngày 8 - 3. Món canh có thể hơi mặn, món cá sốt đáng lẽ phải có màu đỏ sậm thì lại ngả sang","ngay 8-3. Mời cạnh cơ thế như màn, mời cốt sát đang lệ phạt có mưu ác sẵn như lời ngã sang",32.967.032.967.032.900
186,"màu... đen cháy. Nhưng nhìn mâm cơm, mẹ vẫn cười. Bởi vì hai bố con không thể thành","mai ... den chay. Những mình màn cơm, mẹ em còn còn: ôi vì hai bên không thể thành",3.132.530.120.481.920
187,"công trên "" chiến trường "" bếp núc, nhưng lại thành công khi tặng mẹ "" đoá hồng "" của tình yêu.","sing three ""chicken"" biting ""bep"" nice, making last thanks only his ""bep"" me. ""da king"" can't think you.",60.0
188,"Một món quà ý nghĩa hơn cả những món quà quý giá, hạnh phúc ấy long lanh in trong mắt","mei min quan yin huon hon ca nhung min quan gui, hanh phuc ay long lanh in trong nhat.",35.294.117.647.058.800
189,mẹ.,mē,6.666.666.666.666.660
190,"Thành công còn là hình ảnh một cậu bé bị dị tật ở chân, không bao giờ đi lại bình thường","Thank ing can in hinh anh mat cau be bi at tat o chao, kring bao giu tai la binh thung",3.295.454.545.454.540
191,"được. Từ nhỏ cậu đã nuôi ước mơ trở thành cầu thủ bóng đá. Sau bao nỗ lực khổ luyện, cậu",Hei. Tôi nhớ cảm ấn tôi mơ tôi thích cảm thứ bóng tài. Sau bao nó lúc khá chẳng cảm,4.204.545.454.545.450
192,"bé trở thành cầu thủ dự bị trong một đội bóng nhỏ, và chưa bao giờ được chính thức ra sân.","le tê thánh câu thư âu bí trong một đời, ngày nhà, nó chưa bao giờ tác chính thư nà sao.",3.111.111.111.111.110
193,"Nhưng đó không phải là thất bại. Trái lại, thành công đã nở hoa khi cậu bé năm xưa, với bao","Nothing don't bring pleas. In that bar. Treats last, thankin' don't bring him out. In man's life, don't leave.",7.582.417.582.417.580
194,"nghị lực và quyết tâm, đã chiến thắng hoàn cảnh để theo đuổi ước mơ từ ngày thơ bé.","night, we use a night lamp, and always hang a lamp beside the bed.",7.469.879.518.072.280
195,"Thành công ấy, liệu có mấy người đạt được?","Thanh công ấy, liệu có máy người đặt thức ?",16.666.666.666.666.600
196,"Sau mỗi mùa thi đại học, có bao "" sĩ tử "" buồn rầu khi biết mình trở thành "" sĩ tử "". Hai bảy điểm,","Sau mẹ mua thịt tươi, có bao ""sữa túi"" buôn rau khi bệnh mất trở thành ""sữa túi"": thai bay đời mẹ,",3.737.373.737.373.730
197,cao thật đấy. Nhưng cao mà làm gì khi NV1 lấy tới hai bảy phẩy năm? Đó thật ra không phải,"even that day. Nothing can make me lose my life. No, I don't let the hair-baby-pretty-man-to-that-killing-photo.",797.752.808.988.764
198,"là thất bại, chỉ là khi thành công - bị - trì - hoãn mà thôi. Cuộc sống vẫn chào đón họ với","I am short but, she's a khu thanh cng bi' - tri- thanh ma than. Quyong van chua dan ho nhi.",5.054.945.054.945.050
199,"NV2, NV3. Quan trọng là họ đã nỗ lực hết sức để khẳng định mình. Đó là ý nghĩa vẹn nguyên","Nv2, Nv3. Quan trong lí hoa đánh nô lôc hát sức đế kháng thích mình. Do lý nghĩa văn nguyên",25.842.696.629.213.400
200,"của các kỳ thi, và cũng là bản chất của thành công.","của các ký thư, và cung kế bản chất của thành công.",9.803.921.568.627.450
