id,ref,pred,cer
155,"Và hôm nay, chúng ta cũng cần hỏi câu hỏi này với chính mình.","và hầm này, chúng ta cũng còn hồi cán hạ này và chính mình.",180.327.868.852.459
156,KHÁI QUÁT VỀ BIỂN ĐẢO VIỆT NAM,KHÁI QUÁT VỀ BIỂN ĐẢO VIỆT NAM,0.0
157,Nước ta giáp với biển Đông ở hai phía Đông và Nam. Vùng biển Việt Nam,Nước ta gặp với biển Đông ở hai phía Đông và Nam. Vùng biển Việt Nam,2.898.550.724.637.680
158,là một phần biển Đông.,là một phần biển Đông.,0.0
159,"Bờ biển dài 3.260 km, từ Quảng Ninh đến Kiên Giang. Như vậy cứ 100 km2","Bờ biển dài 3.260 km, từ Quảng Ninh đến Kiên Giang. Nhờ vậy cứ 100 km2",14.285.714.285.714.200
160,thì có 1 km bờ biển (trung bình của thế giới là 600 km2 đất liền / 1 km bờ biển).,thỏi có 1 km bờ biển (Trung kính của thế giới là 600 km2 đất liền / 1 km bờ biển).,6.172.839.506.172.830
161,"Biển có vùng nội thủy, lãnh hải, vùng đặc quyền kinh tế và thềm lục địa với","Biển có vùng rồi thủy, lãnh hải, vùng đá quyền kinh tế và thềm lực đưa về",10.666.666.666.666.600
162,diện tích trên 1 triệu km2 (gấp 3 diện tích đất liền : 1 triệu km2 /,liên thứ trên 1 triệu km2 (gấp 3 diện tích đất liền : 1 triệu km2),10.294.117.647.058.800
163,330.000 km2),330.000 km2.,8.333.333.333.333.330
164,"Trong đó có 2 quần đảo Hoàng Sa, Trường Sa và 2.577 đảo lớn, nhỏ,","Trong đó có 2 quần đảo thắng Sa, Trường Sa và 2.577 đảo lớn, nhỏ,",4.615.384.615.384.610
165,"gần và xa bờ, hợp thành phòng tuyến bảo vệ, kiểm soát và làm chủ","gần và xa bờ, hộp thảnh phòng tuyến bảo vệ, kiểm soát và làm chủ",3.125
166,vùng biển.,một biển.,40.0
167,"Có vị trí chiến lược quan trọng : nối liền Thái Bình Dương với Ấn Độ Dương,","Cả vị trí chiến lược quan trọng : nói liên tục với Bình Dương với Anh Dương,",17.333.333.333.333.300
168,"châu Á với châu Âu, châu Úc với Trung Đông. Giao lưu quốc tế thuận","châu Á với châu Âu, châu Úc với Đông Đông. Giao lưu quốc tế thuận",4.545.454.545.454.540
169,"lợi, phát triển ngành biển.","lời, phát triển ngành biển.",37.037.037.037.037.000
170,Có khí hậu biển là vùng nhiệt đới tạo điều kiện cho sinh vật biển phát,Có khi hầu biển là vùng nhiệt đới tạo điều kiện cho sinh vật biển phát,2.857.142.857.142.850
171,"triển, tồn tại tốt.",triển tồn tại tốt.,5.263.157.894.736.840
172,"Có tài nguyên sinh vật và khoáng sản phong phú, đa dạng, quý hiếm.","Có tài nguyên sinh vật và khoáng sản phong phú, đa dạng, quý hiếm.",0.0
173,"Vùng biển và hải đảo nước ta có vị trí chiến lược hết sức to lớn, có ảnh hưởng","Vùng biển và hải đảo nước ta có vị trí chiến lược hết sức to lớn, có ảnh hưởng",0.0
174,trực tiếp đến sự nghiệp bảo vệ nền độc lập dân tộc và xây dựng chủ nghĩa,trước tập đến sự nghiệp bảo vệ nền độc lập dân tộc và xây dựng chủ nghĩa,5.555.555.555.555.550
175,"xã hội, có liên quan trực tiếp đến sự phồn vinh của đất nước, đến văn","xã hội, có liên quan trực tiếp đến sự phồn vinh của đất nước, đến văn",0.0
176,minh và hạnh phúc của nhân dân.,mình và thành phố của nhân dân.,16.129.032.258.064.500
177,BẢN CHẤT CỦA THÀNH CÔNG,BẢN CHẤT CỦA THÀNH CÔNG,0.0
178,Đã bao giờ bạn tự hỏi thành công là gì mà bao kẻ bỏ cả cuộc đời mình theo đuổi? Phải chăng,để bao gồ bán từ hội thành công là gì mà bao kể bố cá của đối với mình theo đúng? Phải chăng,23.333.333.333.333.300
179,"đó là kết quả hoàn hảo trong công việc, sự chính xác đến từng chi tiết? Hay đó là cách nói","đã là kết quả hoàn hảo trong công việc, sử chưa xác định từng dự kiến? Thay đó là cách nói.",16.666.666.666.666.600
180,"khác của từ thành đạt, nghĩa là có được một cuộc sống giàu sang, được mọi người nể phục?","khác của từ thành đạt, nghĩa là có được cuộc sống giàu sang, được mọi người nể phục ở",68.181.818.181.818.100
181,Vậy thì bạn hãy dành chút thời gian để lặng mình suy ngẫm.,Vậy thì bạn hãy dành chút thời gian để lắng mình suy ngẫm.,17.241.379.310.344.800
182,Cuộc sống sẽ chỉ cho bạn có những người thành đạt được thành công theo một cách giản dị đến bất,cực rộng sẽ chỉ cho bạn có những người thành đạt thành công theo một cách giàu đời tươi,22.105.263.157.894.700
183,ngờ,ngờ.,3.333.333.333.333.330
184,"Thành công là khi bố và con trai có dũng khí bước vào bếp, nấu những món ăn mẹ thích nhân","Thành công là khi bố và con trai có dũng khí biểu nào bếp, nấu những món ăn mẹ thích nhấn",5.617.977.528.089.880
185,"ngày 8 - 3. Món canh có thể hơi mặn, món cá sốt đáng lẽ phải có màu đỏ sậm thì lại ngả sang","ngày 8 - 3. Mỗi cảnh có thể bị mán, mỏi có sốt đáng lẽ phải có mà đã sắm thì lại ngờ sang",15.384.615.384.615.300
186,"màu... đen cháy. Nhưng nhìn mâm cơm, mẹ vẫn cười. Bởi vì hai bố con không thể thành","màu... đen cháy. Nhưng nhìn màn cơm, mẹ vẫn cười : "" Bởi vì hai bố con không thể thành",7.228.915.662.650.600
187,"công trên "" chiến trường "" bếp núc, nhưng lại thành công khi tặng mẹ "" đoá hồng "" của tình yêu.","ứng trước "" chiến trường "" bếp nước, nhưng lại thành công khi tặng mẹ "" đã lặng "" của tình yêu.",11.578.947.368.421.000
188,"Một món quà ý nghĩa hơn cả những món quà quý giá, hạnh phúc ấy long lanh in trong mắt","một mũi quả ý nghĩa hơn cả những mũi quả gỗ, hành phục ấy lòng lạnh vì trong nất",24.705.882.352.941.100
189,mẹ.,mộ.,3.333.333.333.333.330
190,"Thành công còn là hình ảnh một cậu bé bị dị tật ở chân, không bao giờ đi lại bình thường","Thành công còn là hình ảnh một câu bí đề tất ở chân, không bao giờ đi lại bình thường",9.090.909.090.909.090
191,"được. Từ nhỏ cậu đã nuôi ước mơ trở thành cầu thủ bóng đá. Sau bao nỗ lực khổ luyện, cậu","thức. Từ nhỏ câu đệ núi về mơ tới thành cầu thủ bóng đá. Sau bao rồi lực khổ luyện, cầu",18.181.818.181.818.100
192,"bé trở thành cầu thủ dự bị trong một đội bóng nhỏ, và chưa bao giờ được chính thức ra sân.","bé tốt thành cầu thủ dự bị trong một đợi bóng nhỏ, nơi chưa bao giờ được chính thức ra sân.",6.666.666.666.666.660
193,"Nhưng đó không phải là thất bại. Trái lại, thành công đã nở hoa khi cậu bé năm xưa, với bao","nhưng đó không phải là thách bại. Trái lại, thành công đến nỗ hạ khi cậu bé năm này, với bảo",14.285.714.285.714.200
194,"nghị lực và quyết tâm, đã chiến thắng hoàn cảnh để theo đuổi ước mơ từ ngày thơ bé.","nghị lực và quyết tâm, đã chiếu thấy hoàn cảnh để theo đuổi các mô tả ngày thơ bé.",963.855.421.686.747
195,"Thành công ấy, liệu có mấy người đạt được?","Thành công ấy, lời cố mấy người đạt được?",9.523.809.523.809.520
196,"Sau mỗi mùa thi đại học, có bao "" sĩ tử "" buồn rầu khi biết mình trở thành "" sĩ tử "". Hai bảy điểm,","Sau mỗi mùa thi đạt lực, có bao "" 3 tỉ "" buồn rầu khi biết mình trở thành "" 3 tỉ "" tại bảy điểm,",12.121.212.121.212.100
197,cao thật đấy. Nhưng cao mà làm gì khi NV1 lấy tới hai bảy phẩy năm? Đó thật ra không phải,cho thất đẩy. Nhưng cao mà làm gì khi NV2 lấy tới hai bảy phẩy năm tới thật ra không phải?,10.112.359.550.561.700
198,"là thất bại, chỉ là khi thành công - bị - trì - hoãn mà thôi. Cuộc sống vẫn chào đón họ với","là thất bại, chỉ là khi thành công - bị - tội - hậu mà thôi. Quốc sông vẫn chào đón họ với",8.791.208.791.208.790
199,"NV2, NV3. Quan trọng là họ đã nỗ lực hết sức để khẳng định mình. Đó là ý nghĩa vẹn nguyên","NV2, NV3. Quan trọng là họ đã nỗ lực để bắt sức để khẳng định mình. Tôi có ý nghĩa văn nguyên",12.359.550.561.797.700
200,"của các kỳ thi, và cũng là bản chất của thành công.","của các kỳ thi, và cũng là bản chất của thành công.",0.0
